"Administración Local","Ayuntamiento de Navarrete (La Rioja)","Pleno del Ayuntamiento de Navarrete",P2610600E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=hUXxB3TgcEE%3D,"Plaza Donantes de Sangre, 2",26370,"Navarrete (La Rioja)",España,941440005,941440601,ayto@ayuntamientonavarrete.org
"Administración Local","Ayuntamiento de Ojacastro (La Rioja)","Pleno del Ayuntamiento de Ojacastro",P2611000G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=aF6LVRDlTMY%3D,"Iglesia 2",26270,Ojacastro,España,941354153,941354358,ayto@ojacastro.org
"Administración Local","Ayuntamiento de Oleiros (A Coruña)","Pleno del Ayuntamiento de Oleiros",P1505900I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=N%2Bz%2FyLGc5HI%3D,"Plaza de Galicia",15173,Oleiros,España,981610000,981648118,p.cela@oleiros.org
"Administración Local","Ayuntamiento de Olombrada (Segovia)","Pleno del Ayuntamiento de Olombrada",P4017400E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=F7aNfub7V2k%3D,"Plaza Mayor 1",40220,"Olombrada (Segovia)",España,921164000,921164648,aytoolombrada@terra.es
"Administración Local","Ayuntamiento de Olost (Barcelona)","Pleno del Ayuntamiento de Olost ",P0814800I,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=GYe0fsKpGPI%3D,"Pl. Major 1",08516,Olost,España,938880211,938880552,olost@diba.cat
"Administración Local","Ayuntamiento de Osornillo (Palencia)","Pleno del Ayuntamiento de Osornillo ",P3411600D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=ksMYc06jykg%3D,"General Franco s/n",34468,"Osornillo (Palencia)",España,979152199,979152199,ayto-osornillo@dip-palencia.es
"Administración Local","Ayuntamiento de Osorno (Palencia)","Pleno del Ayuntamiento de Osorno ",P3411700B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=0%2FnfOGQ7XgU%3D,"Plaza Abilio Calderón, 9",34460,"Osorno (Palencia)",España,979817001,979817002,ayto-osorno@dip-palencia.es
"Administración Local","Ayuntamiento de Otero de Herreros (Segovia)","Pleno del Ayuntamiento de Otero de Herreros ",P4017800F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=NpbwOlo%2Fh3c%3D,"Plaza Mayor 1",40422,"Otero de Herreros",España,921483000,921483000,aytodeotero@terra.es
"Administración Local","Ayuntamiento de Otos (Valencia)","Pleno del Ayuntamiento de Otos ",P4618700A,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=qiJ6DMd4Dq4%3D,"c/ Sant Josep 6",46844,Otos,España,962358235,962358600,ajuntamentotos@otos.es
"Administración Local","Ayuntamiento de Palacios de Sanabria (Zamora)","Pleno del Ayuntamiento de Palacios de Sanabria",P4915800I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nmN3184lYQo%3D,"Ctra. Sandín, s/n",49322,"Palacios de Sanabria (Zamora)",España,980626012,980626012,mdlcarmen@gmail.com
"Administración Local","Ayuntamiento de Pazos de Borbén (Pontevedra)","Pleno del Ayuntamiento de Pazos de Borbén ",P3603700J,Gallego,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=IU%2FgR%2FWDrYo%3D,"Pazos 52",36841,"Pazos de Borbén ",España,986497035,986497146,concello@pazosdeborben.org
"Administración Local","Ayuntamiento de Pedrafita do Cebreiro (Lugo)","Pleno del Ayuntamiento de Pedrafita do Cebreiro",P2704500D,Gallego,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Q18wMySSG6I%3D,"Plaza de España 2",27670,"Pedrafita do Cebreiro",España,982367103,982367150,conpedrafita@hotmail.com
"Administración Local","Ayuntamiento de Pedralba de la Pradería (Zamora)","Pleno del Ayuntamiento de Pedralba de la Pradería",P4916000E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=grjTPkEzZio%3D,"Plaza Mayor s/n",49392,"Pedralba de la Pradería (Zamora)",España,980621903,980621966,aytopedra@interbook.net
"Administración Local","Ayuntamiento de Pedraza (Segovia)","Pleno del Ayuntamiento de Pedraza",P4018400D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=a4kSeq%2B%2B7Zc%3D,"Plaza Mayor 1",40172,"Pedraza (Segovia)",España,921509817,921509979,ayunpedraza@inicia.es
"Administración Local","Ayuntamiento de Pedro Muñoz (Ciudad Real)","Pleno del Ayuntamiento de Pedro Muñoz",P1306100G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=JSrodmK1VsQ%3D,"Plaza de España s/n",13620,"Pedro Muñoz (Ciudad Real)",España,926586001,926586798,secretaria@pedro-munoz.com
"Administración Local","Ayuntamiento de Pedrosa de Río Urbel (Burgos)","Pleno del Ayuntamiento de Pedrosa de Río Urbel ",P0926700F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=An6gXCe%2FB3M%3D,"Calle de la Plaza 2",09131,"Pedrosa de Río Urbel ",España,947451275,941451275,segundoaalonso@gmail.com
"Administración Local","Ayuntamiento de Pedrosa del Rey (Valladolid)","Pleno del Ayuntamiento de Pedrosa del Rey",P4711400D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=3ZIm3aoR7t4%3D,"Plaza Juan Carlos 1",47112,"Pedrosa del rey",España,983792116,,aito.pedrosa@dip-valladolid.es
"Administración Local","Ayuntamiento de Pedrosillo el Ralo (Salamanca)","Pleno del Ayuntamiento de Pedrosillo el Ralo ",P3724000I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=CK26Jt1y1P8%3D,"Iglesia, 5",37427,"Pedrosillo el Ralo (Salamanca)",España,923354375,923354375,aytopedrosilloelralo@hotmail.es
"Administración Local","Ayuntamiento de Pelahustán (Toledo)","Pleno del Ayuntamiento de Pelahustán",P4513200H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=l8ce9pcHKXs%3D,"Plaza de Eugenio Bores, 1",45918,"Pelahustán (Toledo)",España,925740701,925740701,pelahustan@local.jccm.es
"Administración Local","Ayuntamiento de Penagos (Cantabria)","Pleno del Ayuntamiento de Penagos ",P3904800D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gNvxS2uLij8%3D,Helguera,38627,Arenal,España,,,secretaria@aytopenagos.com
"Administración Local","Ayuntamiento de Peñamellera Baja (Principado de Asturias)","Pleno del Ayuntamiento de Peñamellera Baja",P3304700B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=rGN8OK8YQ80%3D,"C/ Mayor s/n",33570,"Panes, Peñamellera Baja",España,985414008,985414451,ayuntamiento@aytopanespbaja.com
"Administración Local","Ayuntamiento de Piloña (Principado de Asturias)","Pleno del Ayuntamiento de Piloña",P3304900H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OhGmn4E7Qjw%3D,"Covadonga, 9",33530,"Infiesto-Piloña (Principado de Asturias)",España,985710013,985711144,correo@ayto-pilona.es
"Administración Local","Ayuntamiento de Pinilla del Valle (Madrid)","Pleno del Ayuntamiento de Pinilla del Valle",P2811200A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=pYuih4ExhFk%3D,"Plaza del Gobernador, 1",28749,"Pinilla del Valle (Madrid)",España,918693052,918693107,auxiliar@pinilladelvalle.org
"Administración Local","Ayuntamiento de Piña de Campos (Palencia)","Pleno del Ayuntamiento de Piña de Campos ",P3413000E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1OFXnfCNkXs%3D,"Plaza del Arco 1",34430,"Piña de Campos",España,979153016,979153016,secretario@pinadecampos.es
"Administración Local","Ayuntamiento de Piñar (Granada)","Pleno del Ayuntamiento de Piñar",P1816200H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=iE4Ga4TUHQM%3D,"Plaza del Ayuntamiento, 7",18568,"Piñar (Granada)",España,958394616,958394795,ayuntamientodepinar@hotmail.com
"Administración Local","Ayuntamiento de Pizarra (Málaga)","Pleno del Ayuntamiento de Pizarra ",P2908000I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=W6VtiFCYThQ%3D,"Plaza del Ayuntamiento 1",29560,Pizarra,España,952483015,952483574,pizarra@sopde.es
"Administración Local","Ayuntamiento de Plasencia","Pleno del Ayuntamiento de Plasencia",P1015100I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HfH0S4ugutA%3D,"c/ del Rey, 6",10600,Plasencia,España,927428512,927428552,contratacion@aytoplasencia.es
"Administración Local"," Ayuntamiento de Población de Cerrato (Palencia)","Pleno del Ayuntamiento de Población de Cerrato",P3413300I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=EvBMPXzAyPY%3D,"Plaza Mayor,1",34219," Población de Cerrato (Palencia)",España,979782440,979782440,isamaelpuentes@gmail.com
"Administración Local","Ayuntamiento de Pobladura del Valle (Zamora)","Pleno del Ayuntamiento de Pobladura del Valle",P4917600A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=SxexD3USEO4%3D,"Plaza Mayor s/n",49780,"Pobladura del Valle (Zamora)",España,980650003,980650003,ayto_pobladuradelvalle@hotmail.com
"Administración Local","Ayuntamiento de Polanco (Cantabria)","Pleno del Ayuntamiento de Polanco",P3905400B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=1BZ%2Bkxn%2FBlQ%3D,"Barrio de La Iglesia R-29",39313,"Polanco (Cantabria)",España,942824200,942824975,secretaria@aytopolanco.org
"Administración Local","Ayuntamiento de Pomar de Valdivia (Zamora)","Pleno del Ayuntamiento de Pomar de Valdivia",P3413500D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=KbSf0MVZNkA%3D,"Plaza Real",34813,"Pomar de Valdivia (Zamora)",España,979609001,979609036,ayto-pomar@dip-palencia.es
"Administración Local","Ayuntamiento de Porcuna (Jaén)","Pleno del Ayuntamiento de Porcuna",P2306900H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=vXvHH1UWP3I%3D,"Plaza de Andalucía, 1",23790,"Porcuna (Jaén)",España,953544004,953544606,porcuna@promojaen.es
"Administración Local","Ayuntamiento de Pozo de Urama (Palencia)","Pleno del Ayuntamiento de Pozo de Urama",P3413700J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=W9PfyG1ktY8%3D,"Carnicerias, 1",34347,"Pozo de Urama",España,979844478,979844478,ayto-pozo@dip-palencia.es
"Administración Local","Ayuntamiento de Pradejón (La Rioja)","Pleno del Ayuntamiento de Pradejón",P2611700B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=EmHX10pVCA0%3D,"Plaza Melchor Ezquerro, 1",26510,"Pradejón (La Rioja)",España,941150001,941141050,secretaria@aytopradejon.org
"Administración Local","Ayuntamiento de Pravia (Principado de Asturias)","Pleno del Ayuntamiento de Pravia ",P3305100D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=2eurlo5d1xs%3D,"Plaza Marquesa de Casa Valdés",33120,Pravia,España,985823510,985822264,info@pravia.es
"Administración Local","Ayuntamiento de Préjano (La Rioja)","Pleno del Ayuntamiento de Préjano",P2611900H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=OUB7sH%2BX7SQ%3D,"Juan XXIII, 16",26589,"Préjano (La Rioja)",España,941399005,941399065,aytoprejano@telefonica.net
"Administración Local","Ayuntamiento de Proaza (Principado de Asturias)","Pleno del Ayuntamiento de Proaza ",P3305200B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Lal1N8WP6wE%3D,"Plaza La Abadía s/n",33114,Proaza,España,985761001,985761200,secretaria@proaza.es
"Administración Local","Ayuntamiento de Pueto de la Cruz (Tenerife)","Pleno del Ayuntamiento de Pueto de la Cruz",P3802800G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=W2dPvtd4pJs%3D,"Plaza de Europa",38400,"Pueto de la Cruz (Tenerife)",España,922378429,,destana@puertodelacruz.es
"Administración Local","Ayuntamiento de Quart de les Valls (Valencia)","Pleno del Ayuntamiento de Quart de les Valls",P4610300H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=RspRs9v97Bk%3D,"Plaza San Miguel 2",46515,"Quart de les Valls",España,962600305,962602620,qvalls_ayt@gva.es
"Administración Local","Ayuntamiento de Quero (Toledo)","Pleno del Ayuntamiento de Quero",P4514200G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=A7YjxvcDH3Y%3D,"Plaza de la Villa, 1",45790,"Quero (Toledo)",España,926577004,926577004,secretaria-intervencion@quero.es
"Administración Local","Ayuntamiento de Quintana del Puente (Palencia)","Pleno del Ayuntamiento de Quintana del Puente",P3414100B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=sGeJ4LL0Z6Q%3D,"Plaza de la Alegria, 9",34250,"Quintana del Puente (Palencia)",España,979792069,979792069,ayto-quintana@dip-palencia.es
"Administración Local","Ayuntamiento de Quintanilla Vivar (Burgos)","Pleno del Ayuntamiento de Quintanilla Vivar ",P0931100B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=4w%2B0KgI635Y%3D,"Real, 17",09140,"Quintanilla Vivar (Burgos)",España,947292107,947292107,ayuntamiento@quintanillavivar.com
"Administración Local","Ayuntamiento de Quirós (Principado de Asturias)","Pleno del Ayuntamiento de Quirós ",P3305300J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YwmMDTJwEkQ%3D,"Carretera General 1",33117,"Quirós ",España,985768160,985768145,oficinatecnica@quiros.es
"Administración Local","Ayuntamiento de Rabanera de Cameros (La Rioja)","Pleno del Ayuntamiento de Rabanera de Cameros ",P2612100D,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=6RjS0%2F7LOHk%3D,"Mayor 35",26133,"Rabanera de Cameros ",España,941464230,,aytorabanera@yahoo.es
"Administración Local","Ayuntamiento de Rafelguaraf","Pleno del Ayuntamiento de Rafelguaraf",P4621100I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=XhsvCFQtWss%3D,"Jaume I, nº 2",46666,Rafelguaraf,España,962586005,962979089,rafelguaraf_alc@gva.es
"Administración Local","Ayuntamiento de Ramales de la Victoria (Cantabria)","Pleno del Ayuntamiento de Ramales de la Victoria",P3905700E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=REhSQ3dHhKs%3D,"Paseo de Barón de Adzaneta, 5",39800,"Ramales de la Victoria (Cantabria)",España,942646004,942678414,secretaria@aytoramales.org
"Administración Local","Ayuntamiento de Rasines (Cantabria)","Pleno del Ayuntamiento de Rasines ",P3905800C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=fmkeeTnUKBY%3D,"La Gerra s/n",39860,Rasines,España,942676861,942676861,oficinas@aytorasines.org
"Administración Local","Ayuntamiento de Renedo de la Vega (Palencia)","Pleno del Ayuntamiento de Renedo de la Vega (Palencia)",P3414700I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gmJbrPnEmuA%3D,"Alegría S/N",34126,"Renedo de la Vega (Palencia)",España,978619500,978619500,ayto-renedo@dip-palencia.es
"Administración Local","Ayuntamiento de Reocín (Cantabria)","Pleno del Ayuntamiento de Reocín",P3906000I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zRCBLcjy9jw%3D,"La Robleda 127",39530,"Puente San Miguel",España,942838301,942838090,aytoreocin@hotmail.com
"Administración Local","Ayuntamiento de Requejo (Zamora)","Pleno del Ayuntamiento de Requejo",P4919200H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=bGMjtQExx58%3D,"Plaza de Guadalupe s/n",49394,"Requejo (Zamora)",España,980622431,980622415,aytorequejo@interbook.com
"Administración Local","Ayuntamiento de Ribadesella (Principado de Asturias)","Pleno del Ayuntamiento de Ribadesella ",S3305600C,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=nyaIOmOfgqQ%3D,"Plaza de María Cristina 1 ",33560,Ribadesella,España,,,secretariageneral@ayto-ribadesella.es
"Administración Local","Ayuntamiento de Ribera de Arriba (Asturias)","Pleno del Ayuntamiento de Ribera de Arriba",P3305700A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=IvVuQufjMV0%3D,"Plaza Constitución s/n",33172,"Soto de Ribera (Asturias)",España,985796009,985797211,secretaria@riberadearriba.org
"Administración Local","Ayuntamiento de Rincón de la Victoria (Málaga)","Pleno del Ayuntamiento de Rincón de la Victoria",P2908200E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=gme8%2FtBij3c%3D,"Plaza Al-Andalus 1",29730,"Rincón del Victoria",España,952075052,952407104,contratacion@rincondelavictoria.es
"Administración Local","Ayuntamiento de Riotuerto (Cantabria)","Pleno del Ayuntamiento de Riotuerto (Cantabria)",P3906400A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=dNTCXSedogE%3D,"Colegio Público L. y J. del Valle nº 1",39720,"La Cavada (Cantabria)",España,942539341,942539418,aytoriotuerto@telefonica.net
"Administración Local","Ayuntamiento de Riudarenes (Girona)","Pleno del Ayuntamiento de Riudarenes",P1715700I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2FqCWzSW57QE%3D,"Plaça Vila, 8",17421,"Riudarenes (Girona)",España,972856002,972164516,ajuntament@riudarenes.org
"Administración Local","Ayuntamiento de Riudellots de la Selva (Girona)","Pleno del Ayuntamiento de Riudellots de la Selva",P1715900E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=IEJUJTFGMyA%3D,"Plaça Ajuntament, 1",17457,"Riudellots de la Selva (Girona)",España,972478899,972477375,secretaria@riudellots.cat
"Administración Local","Ayuntamiento de Roales del Pan (Zamora)","Pleno del Ayuntamiento de Roales del Pan",P4919800E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xSrcKi%2Fctb0%3D,"Plaza del Ayuntamiento s/n",49192,"Roales del Pan (Zamora)",España,980538670,980538989,ma-sanmartin@terra.es
"Administración Local","Ayuntamiento de Roda de Ter (Barcelona)","Pleno del Ayuntamiento de Roda de Ter",P0818200H,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=iJ%2BGg2kOMyA%3D,"Plaça Major, 4",08510,"Roda de Ter",España,938500075,938540931,ajdespatx@rodadeter.cat
"Administración Local","Ayuntamiento de Rosinos de la Requejada (Zamora)","Pleno del Ayuntamiento de Rosinos de la Requejada",P4920100G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=NrItsaMnZ0U%3D,"Santa Colomba, 70",49322,"Rosinos de la Requejada (Zamora)",España,980626127,980626127,mdlcarmen@gmail.com
"Administración Local","Ayuntamiento de Ruente (Cantabria)","Pleno del Ayuntamiento de Ruente",P3906600F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=sQBTnqdyXYM%3D,Ruente,39513,"Ruente (Cantabria)",España,942709104,942709104,ruente@ruente.es
"Administración Local","Ayuntamiento de Sajazarra (La Rioja)","Pleno del Ayuntamiento de Sajazarra ",P2612800I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B%2BEv9cAS82Y%3D,"La Rosa 2",26212,"Sajazarra (La Rioja)",España,941320133,941320133,ayuntamiento@cihuri.org
"Administración Local","Ayuntamiento de Salinas de Pisuerga (Palencia)","Pleno del Ayuntamiento de Salinas de Pisuerga",P3415800F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=xJi6Tx%2Fiz2k%3D,"Plaza Mayor",34830,"Salinas de Pisuerga",España,,,auto-salinas@dip-palencia.es
"Administración Local","Ayuntamiento de San Adrián (Navarra)","Pleno del Ayuntamiento de San Adrián",P3121500G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=AKlOXkgbeRU%3D,"Avenida de Navarra 7",31570,"San Adrián (Navarra)",España,948670800,948696195,secretaria@sanadrian.net
"Administración Local","Ayuntamiento de San Agustín del Guadalix (Madrid)","Pleno del Ayuntamiento de San Agustín del Guadalix",P2812900E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HSHmH87tS3M%3D,"Plaza de la Constitución 1",28750,"San Agustín del Guadalix",España,918418002,918418493,contratacion@aytosag.es
"Administración Local","Ayuntamiento de San Cebrián de Muda (Palencia)","Pleno del Ayuntamiento de San Cebrián de Muda ",S3416000B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=w%2FZjXQRaSwo%3D,"Plaza de San Ciprián ",34839,"San Cebrián de Muda ",España,,,ayto-sancebrianmuda@dip-palencia.es
"Administración Local","Ayuntamiento de San Cristóbal de Entreviñas (Zamora)","Pleno del Ayuntamiento de San Cristóbal de Entreviñas",P4920800B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=PwEhTXXfevg%3D,"Calvario, 1",49690,"San Cristóbal de Entreviñas (Zamora)",España,980643505,980643505,aytosancristobal@wanadoo.es
"Administración Local","Ayuntamiento de San Cugat del Valles (Barcelona)","Pleno del Ayuntamiento de San Cugat del Valles ",P0820400J,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B4Hrkt%2FbopA%3D,"Plaza de la Vila 1",08172,"San Cugat del Valles ",España,935657000,936755406,contractacio@santcugat.cat
"Administración Local","Ayuntamiento de San Miguel de Aguayo (Cantabria)","Pleno del Ayuntamiento de San Miguel de Aguayo ",P3907000H,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2B6aJqz%2F%2FV0E%3D,"Bº La Iglesia s/n",39491,"San Miguel de Aguayo ",España,942778799,942778608,intervencion@aytosmaguayo.es
"Administración Local","Ayuntamiento de San Pedro del Romeral","Pleno del Ayuntamiento de San Pedro del Romeral",P3907100F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=zhMaPOyF5oc%3D,"La Plaza, s/n",39686,"San Pedro del Romeral",España,942595407,942595546,aytosanpedrodelromeral@hotmail.com
"Administración Local","Ayuntamiento de San Román de la Cuba (Palencia)","Pleno del Ayuntamiento de San Román de la Cuba ",P3416500A,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=HwtimG4DR0o%3D,"Plaza General Franco 13",34347,"San Román de la Cuba ",España,979847111,979847111,ayto-sanromancuba@dip-palencia.es
"Administración Local","Ayuntamiento de San Román de los Montes (Toledo)","Pleno del Ayuntamiento de San Román de los Montes",P4515500I,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=%2FekA4sL46H0%3D,"Plaza de la Constitución, 3",45646,"San Román de los Montes (Toledo)",España,925887002,925887137,sanroman@diputoledo.es
"Administración Local","Ayuntamiento de San Torcuato (La Rioja)","Pleno del Ayuntamiento de San Torcuato",P2613900F,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Vv8C5az8b4U%3D,"Calle Real 18",26291,"San Torcuato",España,941350205,941350205,ayto.sancuato@conlared.com
"Administración Local","Ayuntamiento de San Vicente de la Barquera (Cantabria)","Pleno del Ayuntamiento de San Vicente de la Barquera",P3908000G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=8wtueIpsYiI%3D,"Alta, 10",39540,"San Vicente de la Barquera (Cantabria)",España,942710012,942712251,ayotsvbregistro@mundivia.es
"Administración Local","Ayuntamiento de Sant Feliú Sasserra (Barcelona)","Pleno del Ayuntamiento de Sant Feliú Sasserra",P0821100E,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=YneSirNhjBU%3D,"PL.Major,1",08274,"Sant Feliú Sasserra (Barcelona)",España,938819011,938819017,st.felius@diba.cat
"Administración Local","Ayuntamiento de Sant Hipòlit de Voltregà (Barcelona)","Pleno del Ayuntamiento de Sant Hip&ograve;lit de Voltreg&agrave;",P0821400I,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=H57CH9euRpU%3D,"Plaza de Cavila 1",08512,"Sant Hipòlit de Voltregà",España,938502626,938502339,marcelopd@diba.cat
"Administración Local","Ayuntamiento de Sant LLorenç Savall (Barcelona)","Pleno del Ayuntamiento de Sant LLoren&ccedil; Savall ",P0822100D,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=Sg8FAWYsToo%3D,"Canigó 7",08212,"Sant LLorenç Savall ",España,937140018,937141007,st.llorenss@diba.cat
"Administración Local","Ayuntamiento de Sant Quirze de Besora (Barcelona)","Pleno del Ayuntamiento de Sant Quirze de Besora ",P0823700J,Catalán,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=H7d4ygq9gjI%3D,"PlaÇa Major 1",08580,"Sant Quirze de Besora ",España,938529017,938529142,pgibert@ajsantquirze.com
"Administración Local","Ayuntamiento de Santa Cecilia del Alcor (Palencia)","Pleno del Ayuntamiento de Santa Cecilia del Alcor (Palencia)",P3416700G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=4NZ%2Brv5nqXA%3D,"Plaza del Ayuntamiento, nº 1",34191,"Santa Cecilia del Alcor",España,979766432,,ayt-santacecilia@dip-palencia.es
"Administración Local","Ayuntamiento de Santa Cruz de Bezana","Pleno del Ayuntamiento de Santa Cruz de Bezana",P3907300B,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=AWZ%2BOHRjbqA%3D,"Plaza de Cantabria, 1",39100,"Santa Cruz de Bezana",España,942580001,942581548,contratacion@aytobezana.com
"Administración Local","Ayuntamiento de Santa Cruz del Valle","Pleno del Ayuntamiento de Santa Cruz del Valle",P0522100G,Español,,,https://contrataciondelestado.es/wps/poc?uri=deeplink%3AperfilContratante&idBp=BL9M40Ee6B8%3D,"Plaza de la Constitución, 1",05413,"Santa Cruz del Valle",España,920386201,920386618,aytosantacruz@telefonica.net
